Mstar = 8.9948e+32 g 
Rstar = 32271200000.0 cm 
Twind = 4500000.0 K 
Mdot = 1.26121179257e+11 g/s 
cs = 27271094.1264 cm/s
rs = 40335015185.2 cm
R (cm)    density (g/cm^3)    Vr (cm/s)   
20.9596107661    2.43581901849e-22    90060942.0628    
21.0705583123    2.40782242073e-22    90151174.2983    
21.1815058585    2.38029652819e-22    90240855.0072    
21.2924534046    2.35323096311e-22    90329990.3662    
21.4034009508    2.32661563173e-22    90418586.3897    
21.514348497    2.30044069859e-22    90506649.5796    
21.6252960432    2.27469661131e-22    90594185.625    
21.7362435893    2.2493740629e-22    90681200.5404    
21.8471911355    2.2244639962e-22    90767700.1773    
21.9581386817    2.19995759604e-22    90853690.225    
22.0690862279    2.17584628153e-22    90939176.2102    
22.1800337741    2.15212169109e-22    91024163.822    
22.2909813202    2.12877569099e-22    91108658.262    
22.4019288664    2.10580034554e-22    91192665.2194    
22.5128764126    2.08318794106e-22    91276189.5707    
22.6238239588    2.06093094564e-22    91359236.8424    
22.734771505    2.03902202945e-22    91441812.0736    
22.8457190511    2.01745405122e-22    91523920.1407    
22.9566665973    1.99622004896e-22    91605565.9202    
23.0676141435    1.97531322763e-22    91686754.6137    
23.1785616897    1.95472697522e-22    91767490.7724    
